Tau,Spectrum modulus (htau)
2.349762572737736,260338.27205157338
2.4198111136535894,255561.063201729
2.4919478647321975,250879.58181872976
2.5662350774013007,246291.9855048695
2.6427368588598426,241796.46797450367
2.721519227400164,237391.25835208394
2.802650169379424,233074.62048388802
2.8861996978893942,228844.85226317952
2.9722399131752195,224700.2849685373
3.060845064855378,220639.28261509407
3.152091615996416,216660.24131843806
3.246058309097833,212761.5886709272
3.3428262340440447,208941.78313017474
3.442478898082012,205199.31341947205
3.545102297885041,201532.6979399103
3.650784993764802,197940.48419397982
3.75961818609571,194421.24822041902
3.8716957940175494,190973.59404009624
3.987114536484364,187596.15311270708
4.105974015729415,184287.58380407977
4.228376803218342,181046.57086387996
4.354428528164668,177871.82491351207
4.4842379686839795,174762.08194402186
4.6179171456655945,171716.10282379936
4.755581419442536,168732.67281589835
4.897349589343365,165810.60110478027
5.043343996211752,162948.7203323007
5.193690627982193,160145.88614275926
5.348519228403134,157400.9767368342
5.507963409001138,154712.89243423092
5.6721607643828404,152080.55524487406
5.841252990974171,149502.908448476
6.015386009299242,146978.91618232074
6.194710089904589,144507.56303709972
6.37937998303722,142087.853660647
6.56955505218853,139718.8123694171
6.765399411619297,137399.4827675559
6.96708206798434,135128.92737341698
7.174777066179284,132906.22725337703
7.388663639535,130730.48166281075
7.608926364489559,128600.80769408362
7.835755319871081,126516.33993142705
8.069346250928893,124476.23011256251
8.309900738254736,122479.64679694085
8.557626371739532,120525.77504047171
8.812736929716017,118613.8160766137
9.075452563441795,116742.987003703
9.3459999870819,114912.52047839927
9.624612673355093,113121.66441512795
9.911531055012373,111369.68169140515
10.207002732321824,109655.84985892833
10.511282686738786,107979.46086032163
10.824633500945623,106339.82075142626
11.147325585451277,104736.24942902625
11.479637411945749,103168.08036390657
11.82185575361122,101634.66033913755
12.17427593259693,100135.3491934856
12.537202074871725,98669.51956984884
12.910947372673775,97236.55666862206
13.29583435478425,95835.85800589327
13.692195164858115,94466.83317637898
14.100371848052085,93128.903621006
14.520716646197469,91821.50239904855
14.953592301772142,90544.0739647334
15.3993723709343,89296.07394822553
15.858441545888057,88076.96894090898
16.331195986858887,86886.23628488014
16.818043663965877,85723.36386657046
17.319404709285163,84587.84991441984
17.83571177940888,83479.20280052078
18.367410428812306,82396.94084615663
18.91495949435125,81340.59213115863
19.478831491222,80309.69430700646
20.059513020724843,79303.79441360115
20.65750519018356,78322.44869963778
21.273324045383124,77365.22244650853
21.907501015898497,76431.68979566792
22.56058337369957,75521.43357939195
23.23313470542703,74634.0451548666
23.9257353987475,73769.12424154018
24.638983143207266,72926.27876167627
25.373493446016745,72105.12468404582
26.129900163211413,71305.28587069633
26.90885604664661,70526.39392673959
27.711033307299026,69768.08805309885
